Catalyst ID|MPContribs ID|Formula|Bulk Material ID|Bulk Formula|Adsorbate Smiles|Adsorbate IUPAC Formula|Adsorption Energy|h|k|l|Surface Shift|
random847800|6162c7023a687e3cf0cc4d75|Ca20Cd20H2Pd20O|mp-1103172|CaCdPd|*OH2|H2 O1|-0.596|1|2|2|0.091|
random1910128|6162c7a48ad40a12ab09b132|H2W12Cl72O|mp-571518|WCl6|*OH2|H2 O1|-0.416|1|0|-1|0.167|
random2062788|6162c7a68ad40a12ab09b156|Ga32Fe16Co16H2O|mp-1224867|Ga2FeCo|*OH2|H2 O1|-0.008|1|1|1|0.063|
random2209690|6162c86f8ad40a12ab09b1cd|Ga24H2S36O|mp-1224796|Ga2S3|*OH2|H2 O1|-1.313|1|2|1|0.163|
random2279613|6162c8703a687e3cf0cc4e65|Cd16As32H2O|mp-471|CdAs2|*OH2|H2 O1|-0.166|2|1|1|0.008|
random2067693|6162c8753a687e3cf0cc4ed1|Si72H2C72O|mp-567505|SiC|*OH2|H2 O1|-6.035|1|0|0|0.167|
random1476146|6162c8753a687e3cf0cc4ed4|Mo32As32H2O|mp-9998|MoAs|*OH2|H2 O1|-0.120|1|1|2|0|
random1851808|6162c8a78ad40a12ab09b257|Sr36H2N18O|mp-1245|Sr2N|*OH2|H2 O1|-2.337|1|0|1|0.500|
random1756532|6162c8a88ad40a12ab09b267|Si56Tc32H2O|mp-1203760|Si7Tc4|*OH2|H2 O1|-0.049|1|1|1|0.111|
random1691590|6162c8b58ad40a12ab09b2d9|Ca40Si24H2O|mp-793|Ca5Si3|*OH2|H2 O1|-1.639|1|1|2|0.115|
random1182452|6162c9558ad40a12ab09b331|Tl32H2Pd32Pb32O|mp-1216566|TlPdPb|*OH2|H2 O1|0.002|1|0|0|0.125|
random694382|6162c9563a687e3cf0cc4fab|Al24H2Pd72O|mp-1183143|AlPd3|*OH2|H2 O1|-0.086|1|1|0|0.125|
random878318|6162c9593a687e3cf0cc4ff6|Hf27Zn27H2O|mp-1014219|HfZn|*OH2|H2 O1|-4.298|1|0|0|0.250|
random629545|6162c9913a687e3cf0cc503f|Hf36H2O|mp-100|Hf|*OH2|H2 O1|-2.762|1|0|0|0.250|
random502702|6162ca328ad40a12ab09b3f5|Hf48Nb72Ge96H2O|mp-672696|Hf2Nb3Ge4|*OH2|H2 O1|-0.807|1|0|2|0.071|
random586644|6162ca368ad40a12ab09b44e|H2Ir54Ru54O|mp-1223860|IrRu|*OH2|H2 O1|-0.887|2|0|1|0.042|
random2060462|6162ca653a687e3cf0cc50ee|Ti48Si16H2O|mp-980420|Ti3Si|*OH2|H2 O1|-2.077|0|0|1|0.019|
random679015|6162cb0e3a687e3cf0cc5168|Cu24Ge48H2N72O|mp-1246877|CuGe2N3|*OH2|H2 O1|-0.690|2|0|1|0.260|
random1392282|6162cb123a687e3cf0cc51c5|Y40H2Pb24O|mp-1188292|Y5Pb3|*OH2|H2 O1|-0.624|1|0|2|0.149|
random2025281|6162cb483a687e3cf0cc5206|Zr18Fe48Si6H2O|mp-1215750|Zr3Fe8Si|*OH2|H2 O1|-2.005|2|1|1|0.260|
random574488|6162cb483a687e3cf0cc5207|Mn27H2Pd27O|mp-1902|MnPd|*OH2|H2 O1|-0.960|1|0|0|0.250|
random1612883|6162cb4a3a687e3cf0cc523e|Cs8Cr16H2S32O|mp-1238845|Cs(CrS2)2|*OH2|H2 O1|-0.222|1|1|-1|0.088|
random1194831|6162cbf53a687e3cf0cc532a|Zn12H2S24O|mp-1102743|ZnS2|*OH2|H2 O1|-1.176|1|1|1|0.100|
random290941|6162cc2c3a687e3cf0cc537b|Hf16Sn16H2Rh32O|mp-866221|HfSnRh2|*OH2|H2 O1|-0.058|1|1|0|0.125|
random2164044|6162cce28ad40a12ab09b68a|Na60In20H2S60O|mp-29375|Na3InS3|*OH2|H2 O1|-0.442|2|2|-1|0.023|
random1565590|6162cce68ad40a12ab09b6e6|Cs12Zn4H22O|mp-643702|Cs3ZnH5|*OH2|H2 O1|-0.429|0|0|1|0.085|
random376100|6162cdb68ad40a12ab09b791|Ni8Sb24H2O|mp-1106023|NiSb3|*OH2|H2 O1|-0.038|1|0|0|0.206|
random1210973|6162cdb78ad40a12ab09b7a2|Ti48Si16H2O|mp-1187525|Ti3Si|*OH2|H2 O1|-1.493|1|0|2|0.500|
random866218|6162cdba8ad40a12ab09b7e8|Mn8Hg16Te24H2O|mp-1221591|MnHg2Te3|*OH2|H2 O1|0.636|2|0|1|0.481|
random2040647|6162ce8a3a687e3cf0cc5604|H2S56N8O|mp-1203253|S7N|*OH2|H2 O1|-0.315|1|1|0|0.162|
random1029758|6162ce8c8ad40a12ab09b88c|Mn12Al12H2Os24O|mp-864951|MnAlOs2|*OH2|H2 O1|-0.084|1|1|1|0.125|
random1025975|6162cf8a3a687e3cf0cc572a|Ti36H2S72O|mp-1101258|TiS2|*OH2|H2 O1|-0.703|2|-1|2|0.035|
random1445792|6162cf8c3a687e3cf0cc573c|Zr36Te12H2O|mp-1793|Zr3Te|*OH2|H2 O1|-0.456|2|1|1|0.269|
random1788634|6162d0338ad40a12ab09b9bc|Al10P10H2Pt50O|mp-1025271|AlPPt5|*OH2|H2 O1|-0.449|2|1|2|0.050|
random1557754|6162d0368ad40a12ab09b9ff|Sr12As12H2Au12O|mp-1206525|SrAsAu|*OH2|H2 O1|-0.524|2|1|1|0.014|
random2447501|6162d0378ad40a12ab09ba13|Si30P30H2Ir10O|mp-1219249|Si3P3Ir|*OH2|H2 O1|-0.193|2|-1|-2|0.157|
random717786|6162d0373a687e3cf0cc582f|Si18Ni54H2O|mp-828|SiNi3|*OH2|H2 O1|-0.299|1|0|0|0.250|
random1331300|6162d10d8ad40a12ab09bae1|Y24Re24H2N72O|mp-989647|YReN3|*OH2|H2 O1|-0.693|1|2|0|0.067|
random774470|6162d10e3a687e3cf0cc591a|Ti20Al20Cu40H2O|mp-4771|TiAlCu2|*OH2|H2 O1|-1.179|2|2|1|0.025|
random2093019|6162d1e03a687e3cf0cc59a0|Zr36H2Au18O|mp-2348|Zr2Au|*OH2|H2 O1|-0.588|1|0|2|0.089|
random824329|6162d2198ad40a12ab09bc2f|Nb40H2N48O|mp-7234|Nb5N6|*OH2|H2 O1|-0.673|1|0|1|0.099|
random2247947|6162d21e3a687e3cf0cc5a51|Zr32H2Se48O|mp-1215598|Zr2Se3|*OH2|H2 O1|0.289|1|1|0|0.125|
random2207966|6162d2c08ad40a12ab09bce0|P36H2Os18O|mp-2319|P2Os|*OH2|H2 O1|-0.216|0|1|2|0.099|
random1039027|6162d2ea3a687e3cf0cc5abf|Tl16Mo8H2Cl48O|mp-29562|Tl2MoCl6|*OH2|H2 O1|-0.091|1|0|0|0.244|
random953143|6162d2ee3a687e3cf0cc5af3|Zr48Zn24H2O|mp-1018105|Zr2Zn|*OH2|H2 O1|-0.700|2|1|2|0.083|
random1611572|6162d3918ad40a12ab09bd57|Co12Ni6H2Se24O|mp-1025190|Co2NiSe4|*OH2|H2 O1|-0.183|2|1|-2|0.083|
random1549230|6162d3913a687e3cf0cc5b3c|Zr30Sn21H2O|mp-1215783|Zr10Sn7|*OH2|H2 O1|-0.069|2|0|1|0.070|
random1932787|6162d3933a687e3cf0cc5b63|H2Ru12Rh48O|mp-1219522|RuRh4|*OH2|H2 O1|-0.037|1|0|-2|0.101|
random2048292|6162d3958ad40a12ab09bdb8|Ti24Al8H2N8O|mp-10675|Ti3AlN|*OH2|H2 O1|-0.317|1|0|0|0.250|
random1713664|6162d3ca8ad40a12ab09be3a|Fe24H2Rh24O|mp-1918|FeRh|*OH2|H2 O1|-2.890|1|1|0|0.250|
random1657962|6162d46d3a687e3cf0cc5c66|Nb24Tc24H2O|mp-1220323|NbTc|*OH2|H2 O1|-1.871|1|1|0|0.125|
random2175231|6162d46d3a687e3cf0cc5c67|Al36Ni54H2O|mp-1229048|Al2Ni3|*OH2|H2 O1|-0.527|1|0|1|0.400|
random834446|6162d53c8ad40a12ab09bf30|Ti12Si12H2Pt12O|mp-961706|TiSiPt|*OH2|H2 O1|-1.732|1|1|1|0.250|
random1519760|6162d5418ad40a12ab09bf9a|Ta48H2Ir48O|mp-571499|TaIr|*OH2|H2 O1|-0.740|1|1|0|0.091|
random746640|6162d56e3a687e3cf0cc5d4b|Sc36Ge72H2O|mp-10212|ScGe2|*OH2|H2 O1|-0.305|0|1|0|0|
random1258160|6162d5738ad40a12ab09bfd2|Co20As20H2Se20O|mp-1226036|CoAsSe|*OH2|H2 O1|-0.313|2|2|1|0.013|
random729731|6162d57d8ad40a12ab09c00b|Sr16Sn48H2O|mp-1186781|SrSn3|*OH2|H2 O1|-0.041|1|0|0|0|
random2103431|6162d60e8ad40a12ab09c020|Ca16Sn32H2Pd16O|mp-11958|CaSn2Pd|*OH2|H2 O1|-0.062|0|1|0|0.106|
random1761475|6162d6148ad40a12ab09c0ab|P64H2Os16O|mp-1087509|P4Os|*OH2|H2 O1|-0.500|0|2|1|0.033|
random1908842|6162d6433a687e3cf0cc5e0e|Cs32H2O|mp-3|Cs|*OH2|H2 O1|-0.407|2|2|1|0.031|
random571673|6162d6e88ad40a12ab09c143|Hg36H2Pd36O|mp-2685|HgPd|*OH2|H2 O1|1.087|1|0|2|0.083|
random2284146|6162d6eb8ad40a12ab09c18b|Ca32In12H2O|mp-1214306|Ca8In3|*OH2|H2 O1|-0.691|2|-1|0|0.246|
random1267794|6162d7c08ad40a12ab09c1d2|Ca24Ag12H2Au12O|mp-983850|Ca2AgAu|*OH2|H2 O1|-0.663|1|1|1|0.125|
random1356093|6162d7c48ad40a12ab09c226|Fe24H2Se48O|mp-760|FeSe2|*OH2|H2 O1|-0.213|0|2|1|0.049|
random699171|6162d8a48ad40a12ab09c2e6|Ta24As48H2O|mp-12561|TaAs2|*OH2|H2 O1|0.493|1|0|0|0.149|
random563435|6162d8a78ad40a12ab09c32b|Cu40H2Pd40O|mp-1018029|CuPd|*OH2|H2 O1|-0.384|2|2|1|0.050|
random2260967|6162d9ac3a687e3cf0cc61db|Sr40Ge80H2O|mp-1244|SrGe2|*OH2|H2 O1|-0.613|2|1|2|0.027|
random198148|6162da568ad40a12ab09c48b|Ti16Al16Cu16H2O|mp-1217214|TiAlCu|*OH2|H2 O1|0.008|1|1|0|0.130|
random1964638|6162db2d8ad40a12ab09c544|Y40H2Ru20Pt20O|mp-1187762|Y2RuPt|*OH2|H2 O1|-1.043|2|2|1|0.025|
random1652973|6162db2f3a687e3cf0cc632c|Ca10As30H2O|mp-1900|CaAs3|*OH2|H2 O1|-0.677|1|-2|-2|0.031|
random1612712|6162db318ad40a12ab09c599|Fe72Si36H2O|mp-22787|Fe2Si|*OH2|H2 O1|-0.071|0|0|1|0.091|
random2119765|6162db618ad40a12ab09c5bd|Zn48H2Rh16O|mp-980200|Zn3Rh|*OH2|H2 O1|-0.067|1|1|0|0.124|
random2327860|6162dc0a3a687e3cf0cc6424|Zr40Si8Sb24H2O|mp-542816|Zr5SiSb3|*OH2|H2 O1|-0.804|2|1|1|0.018|
random1724303|6162dce08ad40a12ab09c6e6|Si24H146C48O|mp-978595|Si(H3C)2|*OH2|H2 O1|2.022|1|0|2|0.160|
random2182481|6162dce08ad40a12ab09c6e9|Mo40As60H2O|mp-542454|Mo2As3|*OH2|H2 O1|-0.973|2|1|2|0.055|
random810802|6162dd178ad40a12ab09c7a6|Ca16Zn16H2O|mp-30483|CaZn|*OH2|H2 O1|-0.024|0|1|0|0.250|
random1779211|6162dd188ad40a12ab09c7c7|In18Co54H2N18O|mp-1068786|InCo3N|*OH2|H2 O1|-0.660|2|1|0|0.083|
random938477|6162ddc43a687e3cf0cc655b|V36Ga12H2N12O|mp-1078963|V3GaN|*OH2|H2 O1|-1.859|1|0|1|0.147|
random2388177|6162de963a687e3cf0cc65f7|H2Pb24O|mp-20483|Pb|*OH2|H2 O1|-0.055|1|1|0|0.125|
random1956150|6162de963a687e3cf0cc660b|Re72H2N36O|mp-1018948|Re2N|*OH2|H2 O1|-1.538|2|1|0|0.167|
random2413449|6162dead8ad40a12ab09c93e|Bi16Te16H2S8O|mp-27910|Bi2Te2S|*OH2|H2 O1|-0.763|2|0|-1|0.055|
random575918|6162decc8ad40a12ab09c977|Tl24H2Pd36Se24O|mp-1077903|Tl2Pd3Se2|*OH2|H2 O1|-1.072|0|0|1|0.059|
random1171503|6162ded78ad40a12ab09c98c|Ti24Hg24H2O|mp-1526|TiHg|*OH2|H2 O1|-0.472|1|0|1|0.250|
random565280|6162deda8ad40a12ab09c99b|K48Zn12As24H2O|mp-571461|K4ZnAs2|*OH2|H2 O1|-0.207|0|0|1|0.026|
random2482818|6162df7f8ad40a12ab09c9fb|Na40As40H2O|mp-1106381|NaAs|*OH2|H2 O1|-0.596|1|2|2|0.054|
random1079211|6162df823a687e3cf0cc6780|Cs16P32H2Ru32O|mp-1207015|Cs(PRu)2|*OH2|H2 O1|-1.043|1|1|0|0.125|
random1937024|6162e0583a687e3cf0cc6795|Ti24Ga48H2O|mp-571342|TiGa2|*OH2|H2 O1|-0.897|2|1|1|0.125|
random2090731|6162e0983a687e3cf0cc6861|Ag30H2O|mp-124|Ag|*OH2|H2 O1|-0.092|2|2|1|0.050|
random470723|6162e1363a687e3cf0cc6931|Cu54Ag18H2O|mp-1184011|Cu3Ag|*OH2|H2 O1|-0.271|1|0|1|0.375|
random1590097|6162e1733a687e3cf0cc694b|Ca16Ge32H2Ru32O|mp-19791|Ca(GeRu)2|*OH2|H2 O1|-0.617|2|0|1|0.033|
random620816|6162e20a3a687e3cf0cc695c|Hf32Tc16H2Rh16O|mp-864916|Hf2TcRh|*OH2|H2 O1|-0.700|1|0|0|0.125|
random1809912|6162e20b8ad40a12ab09cc3f|Zr32Ga16H2O|mp-569833|Zr2Ga|*OH2|H2 O1|-2.292|2|1|2|0.019|
random1651754|6162e20d3a687e3cf0cc699a|Bi24Te42H2Pb6O|mp-23005|Bi4Te7Pb|*OH2|H2 O1|0.228|2|1|1|0.014|
random722299|6162e20e3a687e3cf0cc69b6|Na16Hg48H2O|mp-1186152|NaHg3|*OH2|H2 O1|-0.349|1|1|0|0.125|
random117240|6162e20f8ad40a12ab09cc9d|Cd12H2S12O|mp-672|CdS|*OH2|H2 O1|-0.421|2|1|1|0.146|
random585956|6162e20f3a687e3cf0cc69d8|Ga12As12H2Rh48O|mp-1224900|GaAsRh4|*OH2|H2 O1|-0.261|1|1|1|0.316|
random701851|6162e3dc8ad40a12ab09cdc1|Y32Al16Fe48H2O|mp-1216110|Y2AlFe3|*OH2|H2 O1|-2.351|1|1|0|0.125|
random997404|6162e3de8ad40a12ab09cde8|In96H2Ir32O|mp-636498|In3Ir|*OH2|H2 O1|-0.102|2|0|1|0.075|
random2281420|6162e3de3a687e3cf0cc6ca5|V40Si24H2O|mp-570483|V5Si3|*OH2|H2 O1|-0.720|2|1|1|0.051|
random556732|6162e4b03a687e3cf0cc6d4a|K32Zn16H2S32O|mp-1147773|K2ZnS2|*OH2|H2 O1|-0.515|1|1|0|0.088|
random127747|6162e4b13a687e3cf0cc6d59|Sb36H2O|mp-632286|Sb|*OH2|H2 O1|-0.022|2|1|1|0.250|
random1394963|6162e58e8ad40a12ab09ceee|P32H2S48O|mp-29014|P2S3|*OH2|H2 O1|2.496|2|1|-1|0.108|
random1622155|6162e58e3a687e3cf0cc6e18|Sn24H2Ir24O|mp-20033|SnIr|*OH2|H2 O1|-0.069|2|0|1|0.021|
random1163755|6162e58f3a687e3cf0cc6e2a|H2Se6S42O|mp-1219328|SeS7|*OH2|H2 O1|-0.025|1|0|1|0.500|
random1175981|6162e5938ad40a12ab09cf65|Hf72P36H2O|mp-504659|Hf2P|*OH2|H2 O1|-3.515|1|1|1|0.415|
random1042253|6162e5c88ad40a12ab09cf8f|K18Bi6H2O|mp-568516|K3Bi|*OH2|H2 O1|-0.523|2|1|0|0.042|
random2247174|6162e6618ad40a12ab09cfb0|Cs32Te80H2O|mp-1104010|Cs2Te5|*OH2|H2 O1|-0.394|2|1|1|0.030|
random1627328|6162e6613a687e3cf0cc6eec|Ca12Cr24H2S48O|mvc-16771|Ca(CrS2)2|*OH2|H2 O1|0.537|1|1|1|0.041|
random2004807|6162e6623a687e3cf0cc6ef9|Ag32H2S16O|mp-32791|Ag2S|*OH2|H2 O1|-0.149|1|0|1|0.034|
random1170265|6162e6628ad40a12ab09cfc9|Bi16H2Se32O|mp-1095302|BiSe2|*OH2|H2 O1|-0.068|0|2|1|0.127|
random1311195|6162e6633a687e3cf0cc6f1e|Hf96P48H2O|mp-504659|Hf2P|*OH2|H2 O1|-0.674|2|1|0|0.328|
random1961579|6162e6638ad40a12ab09cfee|Mn32Al88H2O|mp-2856|Mn4Al11|*OH2|H2 O1|-0.749|0|2|-1|0.047|
random1155139|6162e6653a687e3cf0cc6f42|Zr32In96H2O|mp-1078602|ZrIn3|*OH2|H2 O1|-0.055|1|1|1|0.094|
random2401244|6162e6673a687e3cf0cc6f65|Ca12Hg24H2O|mp-11287|CaHg2|*OH2|H2 O1|-0.199|1|0|0|0.167|
random1595702|6162e7438ad40a12ab09d0c2|H2Rh18Pb18O|mp-442|RhPb|*OH2|H2 O1|-0.117|1|1|1|0.083|
random640593|6162e7498ad40a12ab09d141|Hf12Fe24Sn12H2O|mp-866051|HfFe2Sn|*OH2|H2 O1|-2.582|1|1|1|0.125|
random2405645|6162e7793a687e3cf0cc7035|K36Sb12H2O|mp-14017|K3Sb|*OH2|H2 O1|-0.659|2|1|2|0.110|
random2371881|6162e77a3a687e3cf0cc704c|K8Sb16H2O|mp-29055|KSb2|*OH2|H2 O1|0.429|0|2|1|0.077|
random795028|6162e77d3a687e3cf0cc7078|Ag48H2Se24O|mp-568936|Ag2Se|*OH2|H2 O1|-0.063|1|2|0|0.182|
random1068006|6162e8268ad40a12ab09d17a|Ti36Si36H2Pd36O|mp-1103162|TiSiPd|*OH2|H2 O1|-0.203|0|1|2|0.092|
random1639171|6162e82b3a687e3cf0cc7118|Ti36Te36P18H2O|mp-12527|Ti2Te2P|*OH2|H2 O1|-0.689|2|0|-1|0.151|
random1547605|6162e82c3a687e3cf0cc7126|Y16In64Co8H2O|mp-1101092|Y2In8Co|*OH2|H2 O1|-0.574|1|1|2|0.224|
random1981248|6162e82d3a687e3cf0cc713a|Ag48H2S24O|mp-32868|Ag2S|*OH2|H2 O1|-0.273|0|2|-1|0.250|
random2102473|6162e9bc3a687e3cf0cc71d4|Na8Ga32H2O|mp-454|NaGa4|*OH2|H2 O1|-0.428|1|0|1|0.320|
random2401793|6162e9be3a687e3cf0cc71f3|Zr30Sn21H2O|mp-1215783|Zr10Sn7|*OH2|H2 O1|1.089|1|1|1|0.097|
random1805476|6162e9be3a687e3cf0cc71f4|Sc16Si48Ni16H2O|mp-3129|ScSi3Ni|*OH2|H2 O1|-0.774|1|1|1|0.070|
random1968185|6162ea893a687e3cf0cc721b|B192H2O|mp-160|B|*OH2|H2 O1|-2.284|1|1|0|0.089|
random1458663|6162ea8b8ad40a12ab09d36b|Y20Ag60H2O|mp-1187811|YAg3|*OH2|H2 O1|-0.119|2|2|1|0.025|
random2040709|6162eabb3a687e3cf0cc729f|Sc8Fe80Si16H2O|mp-1219497|Sc(Fe5Si)2|*OH2|H2 O1|-0.729|2|2|1|0.026|
random604429|6162eac63a687e3cf0cc72c3|Rb16Tc8H2Cl48O|mp-1209302|Rb2TcCl6|*OH2|H2 O1|-0.182|1|1|0|0.125|
random1896802|6162eac78ad40a12ab09d3f6|Ti80Sb48H2O|mp-22033|Ti5Sb3|*OH2|H2 O1|-0.545|0|2|1|0.059|
random828059|6162eac78ad40a12ab09d3fc|Sr16H2O|mp-95|Sr|*OH2|H2 O1|-2.639|1|1|0|0.250|
random700273|6162eacb8ad40a12ab09d412|Nb48Ga16H2O|mp-2670|Nb3Ga|*OH2|H2 O1|-0.409|1|0|0|0.125|
random1388347|6162eb758ad40a12ab09d498|Co24Ni24Te60H2O|mp-1226586|Co2Ni2Te5|*OH2|H2 O1|-0.003|1|0|-2|0.166|
random1577926|6162ec598ad40a12ab09d54a|Si48H2Pt32O|mp-10744|Si3Pt2|*OH2|H2 O1|-0.079|1|1|1|0.097|
random1455815|6162ed333a687e3cf0cc754a|Zr32Sn16H2O|mp-1094272|Zr2Sn|*OH2|H2 O1|-2.392|1|1|0|0.500|
random1872676|6162ee4d3a687e3cf0cc7608|Cr12Ni24H2N36O|mp-1246517|CrNi2N3|*OH2|H2 O1|-1.301|1|0|2|0.106|
random569395|6162f04e8ad40a12ab09d79f|Ta40V80H2O|mp-567276|TaV2|*OH2|H2 O1|-2.123|2|2|1|0.012|
random2224204|6162f04f8ad40a12ab09d7b9|Hf8In8H2Pt16O|mp-1224456|HfInPt2|*OH2|H2 O1|-0.054|1|1|2|0.056|
random957684|6162f0518ad40a12ab09d7d9|Zn12Ni24Ge12H2O|mp-16358|ZnNi2Ge|*OH2|H2 O1|-0.044|1|1|1|0.125|
random568670|6162f2a88ad40a12ab09d874|Sr24H50O|mp-23759|SrH2|*OH2|H2 O1|-0.461|2|1|1|0.083|
random507701|6162f2ac8ad40a12ab09d8c9|H2Pb96O|mp-1057273|Pb|*OH2|H2 O1|-0.076|2|2|1|0.042|
random1930685|6162f2ae8ad40a12ab09d8e9|Ti16H2Cl48O|mp-571143|TiCl3|*OH2|H2 O1|-0.776|1|0|2|0.179|
random1373678|6162f2e68ad40a12ab09d907|Y12P24H2Ru24O|mp-568832|Y(PRu)2|*OH2|H2 O1|-0.698|2|1|2|0.042|
random2111177|6162f4ff3a687e3cf0cc77b2|Al24Ge24H2Ru48O|mp-867904|AlGeRu2|*OH2|H2 O1|-0.125|2|1|0|0.042|
random1976686|6162f4ff8ad40a12ab09d93a|Ti72H2Se36O|mp-620032|Ti2Se|*OH2|H2 O1|-2.574|1|1|0|0.372|
random1019296|6162f5033a687e3cf0cc780e|P32H2S56O|mp-2650|P4S7|*OH2|H2 O1|-0.064|0|1|1|0.416|
random1487919|6162f5033a687e3cf0cc7812|Ni8P64H2W8O|mp-1209791|NiP8W|*OH2|H2 O1|-0.023|1|0|0|0.500|
random1292523|6162f50f8ad40a12ab09d9b8|Cr32H2Rh32O|mp-1226170|CrRh|*OH2|H2 O1|-0.502|2|-1|2|0.125|
random1803651|6162f75a8ad40a12ab09da87|Cr80H2O|mp-17|Cr|*OH2|H2 O1|-2.276|2|2|1|0.025|
random1166858|6162f8498ad40a12ab09db7e|Ti30H32O|mp-1060435|TiH|*OH2|H2 O1|-4.278|2|2|1|0.050|
random2006317|6162f8818ad40a12ab09dbb6|Hf48H2N64O|mp-755988|Hf3N4|*OH2|H2 O1|-3.237|1|0|0|0.059|
random1979024|6162f8833a687e3cf0cc7a10|Rb16H2Se8Cl48O|mp-27829|Rb2SeCl6|*OH2|H2 O1|0.106|1|0|0|0.243|
random505548|6162f9ec3a687e3cf0cc7a56|Ga24Co12H2Ru12O|mp-865779|Ga2CoRu|*OH2|H2 O1|-0.022|1|1|1|0.042|
random2046720|6162f9ef8ad40a12ab09dc81|Ga12As12H2O|mp-2534|GaAs|*OH2|H2 O1|-0.052|1|1|1|0.208|
random1517065|6162fbcf8ad40a12ab09dd8a|Mo9H2Se18O|mp-1023934|MoSe2|*OH2|H2 O1|2.527|1|0|2|0.072|
random1603205|6162ffac3a687e3cf0cc7d8d|Y40Si24H10O|mp-1189066|Y5Si3H|*OH2|H2 O1|-2.833|2|1|1|0.107|
random587067|6162ffae8ad40a12ab09dfb9|Sn72H2Rh18O|mp-1208852|Sn4Rh|*OH2|H2 O1|-0.066|2|1|0|0.081|
random1161215|6162ffea8ad40a12ab09dff1|Ti30H2S48O|mp-1208223|Ti5S8|*OH2|H2 O1|0.103|2|1|0|0.040|
random1453813|616300808ad40a12ab09e06e|Nb16H2Pt48O|mp-1078699|NbPt3|*OH2|H2 O1|-0.271|1|0|1|0.188|
random1802492|616300828ad40a12ab09e093|Zn36Cu36H2O|mp-987|ZnCu|*OH2|H2 O1|-0.114|2|1|0|0.083|
random1637630|616302d88ad40a12ab09e13b|Sc18H2Ir54O|mp-12593|ScIr3|*OH2|H2 O1|-0.160|2|1|0|0.083|
random689278|6163052d3a687e3cf0cc7f6e|Ta12H2S24O|mp-1411|TaS2|*OH2|H2 O1|-0.204|2|1|1|0.129|
random703850|616305308ad40a12ab09e20a|Sn24H2Se24O|mp-2168|SnSe|*OH2|H2 O1|-0.261|1|2|0|0.076|
random673051|6163078b8ad40a12ab09e300|Cu27H2Pd9Au36O|mp-1225771|Cu3PdAu4|*OH2|H2 O1|-0.078|0|0|1|0.194|
random525873|616307bc3a687e3cf0cc80a7|Ta16Te64H2O|mp-22817|TaTe4|*OH2|H2 O1|-0.272|0|0|1|0.125|
random2275825|616308863a687e3cf0cc81ed|V48H2Os16O|mp-866121|V3Os|*OH2|H2 O1|-0.815|1|0|0|0.125|
random762501|616308b78ad40a12ab09e449|Ta12Mn32Si4H2O|mp-1218073|Ta3Mn8Si|*OH2|H2 O1|-0.397|1|0|1|0.158|
random847211|61630a3a3a687e3cf0cc82ca|Mn72H2N96O|mp-1080204|Mn3N4|*OH2|H2 O1|-1.068|0|1|2|0.154|
random888049|61630bfe8ad40a12ab09e73d|Sn36H2O|mp-7162|Sn|*OH2|H2 O1|-0.008|1|1|0|0.250|
random1673017|61630ff68ad40a12ab09e820|Ni72H38O|mp-1220079|Ni2H|*OH2|H2 O1|-0.674|2|1|-2|0.082|
random716297|61630ff73a687e3cf0cc85f9|Al24Co24H2O|mp-284|AlCo|*OH2|H2 O1|-1.809|1|1|1|0.083|
random2018794|6163102f8ad40a12ab09e8bb|Cs32Na32H2S32O|mp-6973|CsNaS|*OH2|H2 O1|1.384|2|2|1|0.068|
random888979|616310393a687e3cf0cc867c|Ta48H2O|mp-6986|Ta|*OH2|H2 O1|-0.518|1|1|0|0.125|
random969861|616311973a687e3cf0cc8699|Zr48Ga24H2O|mp-569833|Zr2Ga|*OH2|H2 O1|-2.176|2|0|1|0|
random2126803|616312918ad40a12ab09e9fe|Ti32Co16Re16H2O|mp-861641|Ti2CoRe|*OH2|H2 O1|-0.593|1|0|0|0.125|
random555866|616312943a687e3cf0cc8807|Na36H2O|mp-10172|Na|*OH2|H2 O1|-0.307|2|0|1|0.250|
random1335832|616312953a687e3cf0cc8822|In36Ni54H2Se36O|mp-1078086|In2Ni3Se2|*OH2|H2 O1|-0.888|2|1|2|0.045|
random467453|616314333a687e3cf0cc8878|Rb16H2O|mp-975519|Rb|*OH2|H2 O1|-0.301|1|0|0|0.250|
random1845869|616314348ad40a12ab09eb19|Ni24H2S48O|mp-850131|NiS2|*OH2|H2 O1|-1.073|1|0|-2|0.135|
random1566040|616314763a687e3cf0cc892e|Zr36Ga24H2O|mp-30684|Zr3Ga2|*OH2|H2 O1|-2.918|1|0|0|0.150|
random800727|616315678ad40a12ab09ec24|Cr8Sn8H2Rh16O|mp-1018066|CrSnRh2|*OH2|H2 O1|-0.058|0|0|1|0.125|
random1555068|616316c38ad40a12ab09ec6a|K36Ga12H2S36O|mp-541686|K3GaS3|*OH2|H2 O1|-0.503|1|1|2|0|
random766353|616316c53a687e3cf0cc8a58|Ca24Sn12H2O|mp-1009730|Ca2Sn|*OH2|H2 O1|-0.349|2|1|0|0.042|
random744049|616316c88ad40a12ab09eccf|Nb36Sn6H2S48O|mp-1220453|Nb6SnS8|*OH2|H2 O1|-3.392|1|1|0|0.250|
random858634|616316f73a687e3cf0cc8a65|Na36H38O|mp-23870|NaH|*OH2|H2 O1|-0.146|1|0|0|0.250|
random609754|616316fc8ad40a12ab09ed17|Ta18H2Os54O|mp-1187243|TaOs3|*OH2|H2 O1|-1.061|1|0|0|0.250|
