ix	Element combo	material_id
956	MnInRh	mp-1221572
957	MnIrN	mp-22502
958	MnMoAs	mp-1221596
959	MnMoP	mp-1210673
960	MnN	mp-1221793
961	MnNb	mp-12659
962	MnNbAl	mp-1221748
963	MnNbP	mp-17867
964	MnNiGe	mp-22029
965	MnNiP	mp-1221342
966	MnNiSb	mp-600124
967	MnNiTe	mp-1221364
968	MnOs	mp-1185935
969	MnP	mp-569522
970	MnPd	mp-1078895
971	MnPS	mp-8613
972	MnPt	mp-1185931
973	MnPtN	mp-1222181
974	MnPW	mp-1193594
975	MnRh	mp-417
976	MnRhN	mp-1247541
977	MnRu	mp-865045
978	MnS	mp-1018804
979	MnSb	mp-786
980	MnSbPt	mp-5676
981	MnSbRh	mp-4846
982	MnSe	mp-21321
983	MnSi	mp-1221697
984	MnSiNi	mp-1221824
985	MnSiP	mp-1222102
986	MnSiW	mp-1221815
987	MnSnC	mp-20860
988	MnTe	mp-1080073
989	MnV	mp-864984
990	MnVAs	mp-20791
991	MnVFe	mp-1186011
992	MnVGa	mp-1222000
993	MnVGe	mp-865554
994	MnVP	mp-1221555
995	MnVSi	mp-865026
996	MnWN	mp-29026
997	MnZnC	mp-2930
998	MnZnN	mp-1068484
999	MnZnNi	mp-1186005
1000	MnZnPd	mp-1186001
1001	MnZnSe	mp-1221515
1002	MnZnTe	mp-1221505
1003	Mo(SeS)	mp-1221501
1004	Mo(WS)	mp-1025689
1005	MoAs	mp-9998
1006	MoAsP	mp-1221509
1007	MoC	mp-1552
1008	MoCl	mp-1221517
1009	MoIr	mp-11482
1010	MoNCl	mp-23396
1011	MoP	mp-1189099
1012	MoPbS	mp-1104554
1013	MoPCl	mp-23397
1014	MoPd	mp-1206704
1015	MoPdRh	mp-1221431
1016	MoPt	mp-999502
1017	MoPtN	mp-570666
1018	MoRh	mp-12595
1019	MoRu	mp-975834
1020	MoRuSe	mp-1221499
1021	MoS	mp-1434
1022	MoSe	mp-1023934
1023	MoSeS	mp-1018806
1024	MoWS	mp-1023954
1025	MoWSe	mp-1028514
1026	Na	mp-1186081
1027	Na(CrS)	mp-1238843
1028	Na(CuS)	mp-29069
1029	Na(CuSb)	mp-8607
1030	Na(GeAs)	mp-1103729
1031	Na(GePt)	mp-21199
1032	Na(MoSe)	mp-1186069
1033	Na(NbTe)	mp-1221437
1034	Na(SrAs)	mp-1210697
1035	Na(VS)	mp-1221427
1036	Na(VSe)	mp-675310
1037	NaAg	mp-1186017
1038	NaAlAs	mp-17473
1039	NaAlCl	mp-23363
1040	NaAlH	mp-1102924
1041	NaAlP	mp-5122
1042	NaAlSb	mp-28267
1043	NaAs	mp-1188662
1044	NaAu	mp-1186030
1045	NaAuSe	mp-29139
1046	NaBi	mp-972941
1047	NaBiPd	mp-1186107
1048	NaBiTe	mp-1221102
1049	NaCd	mp-983509
1050	NaCdCl	mp-28658
1051	NaCdHg	mp-976220
1052	NaCdPt	mp-865076
1053	NaCl	mp-22862
1054	NaCoS	mp-5481
1055	NaCoSe	mp-1079951
1056	NaCrS	mp-637292
1057	NaCrSe	mp-1103969
1058	NaCuAs	mp-15685
1059	NaCuP	mp-7639
1060	NaCuSe	mp-7433
1061	NaFeN	mp-1245896
1062	NaFeSe	mp-15071
1063	NaGa	mp-454
1064	NaGaGe	mp-1189202
1065	NaGaSe	mp-17148
1066	NaGeP	mp-4172
1067	NaGePd	mp-1095396
1068	NaGeSe	mp-18619
1069	NaGeTe	mp-16930
1070	NaH	mp-23870
1071	NaHfAs	mp-541236
1072	NaHg	mp-1186058
1073	NaIn	mp-976589
1074	NaInAu	mp-607437
1075	NaInP	mp-21577
1076	NaInSb	mp-21547
1077	NaInSe	mp-541689
1078	NaMnN	mp-1029605
1079	NaMnP	mp-20227
1080	NaMoSe	mp-1210246
1081	NaN	mp-570538
1082	NaP	mp-1194653
1083	NaPb	mp-21895
1084	NaPd	mp-1186074
1085	NaPN	mp-29598
1086	NaPS	mp-1101885
1087	NaPt	mp-1186175
1088	NaSbAu	mp-7774
1089	NaSbS	mp-1173513
1090	NaSbSe	mp-1220879
1091	NaScCl	mp-29432
1092	NaSe	mp-15514
1093	NaSeS	mp-1221137
1094	NaSiPd	mp-4276
1095	NaSnAs	mp-5248
1096	NaSnP	mp-29529
1097	NaSrTl	mp-865128
1098	NaTaN	mp-29156
1099	NaTe	mp-28353
1100	NaTeS	mp-1190141
1101	NaTeSe	mp-1221139
1102	NaTiCl	mp-569978
1103	NaTiS	mp-752947
1104	NaTlCd	mp-865127
1105	NaTlHg	mp-1221252
1106	NaTlSb	mp-542387
1107	NaTlSn	mp-1186187
1108	NaVN	mp-1029711
1109	NaVS	mp-999454
1110	NaWN	mp-1029656
1111	NaZnN	mp-1029357
1112	NaZnS	mp-1094106
1113	NaZnSe	mp-1024052
1114	NaZrN	mp-1029316
1115	Nb	mp-75
1116	Nb(AlGa)	mp-1220675
1117	Nb(AsPd)	mp-7221
1118	Nb(CrSi)	mp-1220777
1119	Nb(FeGe)	mp-19887
1120	Nb(IrSe)	mp-1220701
1121	Nb(SeCl)	mp-27361
1122	Nb(ZnGa)	mp-1220689
1123	NbAgSe	mp-1220427
1124	NbAlC	mp-3103
1125	NbAlCo	mp-1220492
1126	NbAlFe	mp-1220454
1127	NbAlGe	mp-1220748
1128	NbAlIn	mp-1220944
1129	NbAlMo	mp-1220329
1130	NbAlOs	mp-865278
1131	NbAs	mp-7598
1132	NbAu	mp-2752
1133	NbC	mp-2318
1134	NbCl	mp-568483
1135	NbCo	mp-7250
1136	NbCoGe	mp-1101795
1137	NbCoSb	mp-31460
1138	NbCoTe	mp-571471
1139	NbCr	mp-1095643
1140	NbCrN	mp-20133
1141	NbCrS	mp-1209946
1142	NbCrSi	mp-3276
1143	NbCS	mp-9988
1144	NbCuTe	mp-991676
1145	NbFe	mp-1103885
1146	NbFeSi	mp-1209887
1147	NbGa	mp-1072
1148	NbGaCl	mp-1210141
1149	NbGaCo	mp-4364
1150	NbGaCu	mp-1220472
1151	NbGaFe	mp-977410
1152	NbGaOs	mp-1186222
1153	NbGaSi	mp-1220366
1154	NbGaTc	mp-1186224
1155	NbGe	mp-363
1156	NbGeAs	mp-1018812
1157	NbGePt	mp-1220392
1158	NbGeRu	mp-864669
1159	NbGeSb	mp-1018811
1160	NbGeTe	mp-29073
1161	NbH	mp-1206371
1162	NbInC	mp-19835
1163	NbInS	mp-20621
1164	NbInSe	mp-1220598
1165	NbIr	mp-1458
1166	NbIrAu	mp-1220758
1167	NbIrSe	mp-675290
1168	NbMoOs	mp-1186205
1169	NbMoRu	mp-1186206
1170	NbMoSe	mp-1220396
1171	NbN	mp-7234
1172	NbNi	mp-1103618
1173	NbNiAs	mp-504835
1174	NbNiMo	mp-1220426
1175	NbP	mp-1106162
1176	NbPbS	mp-21852
1177	NbPbSe	mp-1104699
1178	NbPd	mp-1018151
1179	NbPdPt	mp-1220391
1180	NbPdS	mp-1080466
1181	NbPRh	mp-1101948
1182	NbPRu	mp-1103310
1183	NbPS	mp-27471
1184	NbPSe	mp-7524
1185	NbPt	mp-11514
1186	NbRe	mp-1220322
1187	NbReSi	mp-1095061
1188	NbRh	mp-2449
1189	NbRhSe	mp-1189225
1190	NbRu	mp-977434
1191	NbRuRh	mp-1220418
1192	NbS	mp-1220475
1193	NbSb	mp-2053
1194	NbSbRu	mp-505297
1195	NbSe	mp-618883
1196	NbSi	mp-10229
1197	NbSiGe	mp-1220385
1198	NbSiIr	mp-21248
1199	NbSiMo	mp-1220525
1200	NbSiNi	mp-1193423
1201	NbSiPd	mp-22722
1202	NbSiRu	mp-1186228
1203	NbSiSn	mp-7557
1204	NbSiW	mp-1220511
1205	NbSnH	mp-1220590
1206	NbSnSb	mp-1220345
1207	NbSnSe	mp-1104829
1208	NbTc	mp-1220323
1209	NbTcRu	mp-1186209
1210	NbTcSn	mp-1186232
1211	NbTe	mp-570751
1212	NbTlS	mp-1220483
1213	NbTlTe	mp-1220786
1214	NbVCo	mp-1220522
1215	NbVCr	mp-1220374
1216	NbVIr	mp-1220586
1217	NbVSe	mp-1025195
1218	NbZn	mp-953
1219	NbZnCo	mp-864857
1220	NbZnN	mp-1029422
1221	NbZnSe	mp-1220761
1222	NbZnTe	mp-1220470
1223	Ni	mp-1056486
1224	Ni(BiS)	mp-642190
1225	Ni(MoSe)	mp-1220110
1226	Ni(RhSe)	mp-4852
1227	Ni(SnS)	mp-1220083
1228	Ni(SnSb)	mp-1220099
1229	Ni(TeMo)	mp-1220151
1230	NiAgSe	mp-1018020
1231	NiAs	mp-19814
1232	NiAsRh	mp-1220148
1233	NiAsS	mp-3830
1234	NiAsSe	mp-10846
1235	NiBi	mp-999318
1236	NiGeP	mp-1219800
1237	NiMo	mp-11506
1238	NiMoP	mp-630883
1239	NiP	mp-2296
1240	NiPd	mp-973983
1241	NiPt	mp-568067
1242	NiPW	mp-1079407
1243	NiRhS	mp-675691
1244	NiRu	mp-1220081
1245	NiS	mp-2282
1246	NiSb	mp-976847
1247	NiSbRu	mp-1219954
1248	NiSe	mp-685124
1249	NiSeS	mp-1219948
1250	NiSn	mp-20112
1251	NiSnAu	mp-1206638
1252	NiTe	mp-1220085
1253	NiTePd	mp-569511
1254	NiW	mp-30811
1255	NiWN	mp-505341
1256	Os	mp-49
1257	OsRu	mp-974326
1258	OsS	mp-20905
1259	OsSe	mp-2480
1260	OsW	mp-1186374
1261	PAu	mp-27258
1262	Pb	mp-1186444
1263	PbAu	mp-22795
1264	PbCl	mp-862871
1265	PbS	mp-1067933
1266	PbSe	mp-22009
1267	PbSeS	mp-1219943
1268	Pd	mp-1056438
1269	Pd(SeCl)	mp-29469
1270	PdAu	mp-973834
1271	PdCl	mp-569008
1272	PdPb	mp-20849
1273	PdRhPb	mp-1219917
1274	PdS	mp-558378
1275	PdSe	mp-2418
1276	PdW	mp-1186437
1277	PIr	mp-13853
1278	PIrS	mp-1220004
1279	PN	mp-567907
1280	POs	mp-1087509
1281	POsSe	mp-1101841
1282	PPb	mp-1201560
1283	PPbS	mp-20199
1284	PPd	mp-19879
1285	PPt	mp-730
1286	PRh	mp-621581
1287	PRhSe	mp-1102531
1288	PRu	mp-27173
1289	PRuS	mp-1095584
1290	PRuSe	mp-1101890
1291	PS	mp-541788
1292	PSe	mp-28885
1293	Pt(SCl)	mp-28721
1294	PtCl	mp-1219748
1295	PtPb	mp-21296
1296	PtRh	mp-1219734
1297	PtS	mp-288
1298	PtSe	mp-29767
1299	PtSeS	mp-1219720
1300	PtW	mp-862798
1301	PW	mp-1209828
1302	Rb	mp-974620
1303	Rb(AsRh)	mp-1206926
1304	Rb(CoP)	mp-1206941
1305	Rb(GeAs)	mp-1192510
1306	Rb(PRh)	mp-1207113
1307	RbAlH	mp-1209153
1308	RbAs	mp-10802
1309	RbAsSe	mp-18305
1310	RbAu	mp-30373
1311	RbAuS	mp-9010
1312	RbBi	mp-569095
1313	RbBiSe	mp-1219645
1314	RbCaH	mp-24517
1315	RbCdS	mp-18556
1316	RbCl	mp-23295
1317	RbCoN	mp-1029420
1318	RbCoS	mp-1179796
1319	RbCrCl	mp-570910
1320	RbCrS	mp-7295
1321	RbCuCl	mp-974690
1322	RbCuSe	mp-18365
1323	RbFeSe	mp-7086
1324	RbFeTe	mp-15121
1325	RbGaS	mp-558706
1326	RbGe	mp-1199056
1327	RbH	mp-24721
1328	RbHg	mp-974990
1329	RbHgAu	mp-975176
1330	RbHgCl	mp-1209214
1331	RbHN	mp-697144
1332	RbHS	mp-696804
1333	RbMnAs	mp-20242
1334	RbMnSe	mp-29744
1335	RbMnTe	mp-1209522
1336	RbMoCl	mp-1209508
1337	RbMoSe	mp-17030
1338	RbN	mp-581833
1339	RbNaS	mp-8799
1340	RbNiCl	mp-23486
1341	RbP	mp-2079
1342	RbPbAu	mp-608081
1343	RbPbCl	mp-998604
1344	RbS	mp-1071288
1345	RbSb	mp-7444
1346	RbSbS	mp-561051
1347	RbSbSe	mp-1198114
1348	RbSrCl	mp-1209047
1349	RbTe	mp-2095
1350	RbTePt	mp-1070498
1351	RbTiS	mp-16318
1352	RbTlCd	mp-974790
1353	RbWS	mp-17048
1354	RbZnAs	mp-1192151
1355	RbZnH	mp-697575
1356	Re	mp-8642
1357	Re(TeMo)	mp-1219145
1358	ReC	mp-974437
1359	ReIr	mp-1219533
1360	ReN	mp-1102441
1361	ReOs	mp-1219509
1362	ReP	mp-1637
1363	RePd	mp-862586
1364	ReRh	mp-1219539
1365	ReRu	mp-862630
1366	ReS	mp-572758
1367	ReSe	mp-541582
1368	ReSi	mp-568595
1369	ReTc	mp-974411
1370	Rh	mp-1186916
1371	RhPb	mp-321
1372	RhS	mp-17173
1373	RhSe	mp-1407
1374	Ru	mp-1061133
1375	RuPt	mp-1120769
1376	RuRh	mp-974335
1377	RuRhS	mp-1219512
1378	RuS	mp-2030
1379	RuSCl	mp-29568
1380	RuSe	mp-1922
1381	RuSeS	mp-1219515
1382	Sb	mp-133
1383	Sb(SeS)	mp-1219516
1384	SbAs	mp-1219457
1385	SbAsS	mp-1219513
1386	SbIr	mp-1247
1387	SbPbS	mp-27907
1388	SbPd	mp-30066
1389	SbPdAu	mp-1219480
1390	SbPdSe	mp-1219469
1391	SbPt	mp-1078755
1392	SbPtSe	mp-1101950
1393	SbRh	mp-973342
1394	SbRu	mp-7565
1395	SbRuS	mp-1103434
1396	SbRuSe	mp-1102395
1397	SbS	mp-2809
1398	SbSCl	mp-557809
1399	SbSe	mp-672706
1400	SbSN	mp-1245848
1401	SbTe	mp-1079094
1402	SbTeIr	mp-1102430
1403	SbTeRu	mp-1102857
1404	Sc	mp-67
1405	Sc(AlFe)	mp-1219472
1406	Sc(CoSi)	mp-4131
1407	Sc(FeSi)	mp-1104929
1408	Sc(GaFe)	mp-11438
1409	Sc(GaMo)	mp-1203283
1410	Sc(InRh)	mp-18645
1411	Sc(MnAl)	mp-31081
1412	Sc(MnGe)	mp-19936
1413	Sc(NbGe)	mp-1219488
1414	Sc(NiGe)	mp-22490
1415	Sc(PRh)	mp-1102147
1416	Sc(VGa)	mp-1025365
1417	ScAg	mp-11237
1418	ScAgGe	mp-1080424
1419	ScAgHg	mp-862702
1420	ScAgOs	mp-862431
1421	ScAgPt	mp-1186932
1422	ScAgRu	mp-862473
1423	ScAgSe	mp-1105973
1424	ScAl	mp-2121
1425	ScAlAg	mp-31169
1426	ScAlCo	mp-1219393
1427	ScAlIr	mp-861507
1428	ScAlNi	mp-12781
1429	ScAlOs	mp-862486
1430	ScAlRh	mp-867922
1431	ScAlRu	mp-10911
1432	ScAlZn	mp-862548
1433	ScAs	mp-1188926
1434	ScAu	mp-11256
1435	ScBi	mp-607138
1436	ScCd	mp-1211
1437	ScCdAg	mp-972882
1438	ScCdAu	mp-973170
1439	ScCdGa	mp-1186933
1440	ScCdRh	mp-867909
1441	ScCl	mp-27513
1442	ScCo	mp-2212
1443	ScCoGe	mp-1208943
1444	ScCoIr	mp-862712
1445	ScCoP	mp-1191428
1446	ScCoSi	mp-1189235
1447	ScCoSn	mp-3791
1448	ScCoTe	mp-961678
1449	ScCrSi	mp-1199559
1450	ScCu	mp-973100
1451	ScCuPd	mp-973133
1452	ScCuS	mp-6980
1453	ScCuSi	mp-20083
1454	ScCuSn	mp-1072944
1455	ScFeSb	mp-11201
1456	ScFeSi	mp-4755
1457	ScGa	mp-1179520
1458	ScGaIr	mp-972899
1459	ScGaNi	mp-11400
1460	ScGaOs	mp-862300
1461	ScGaRh	mp-867928
1462	ScGe	mp-1198803
1463	ScGeAu	mp-961697
1464	ScGeOs	mp-1188761
1465	ScGePd	mp-1078402
1466	ScGeRh	mp-1095247
1467	ScH	mp-24237
1468	ScHg	mp-1186967
1469	ScIn	mp-1206268
1470	ScInAg	mp-30347
1471	ScInIr	mp-867187
1472	ScInPd	mp-1209130
1473	ScInPt	mp-31297
1474	ScInRh	mp-867842
1475	ScIr	mp-12593
1476	ScIrPd	mp-862336
1477	ScIrRu	mp-862369
1478	SCl	mp-28128
1479	ScMnP	mp-1190950
1480	ScMnRh	mp-867850
1481	ScMnSi	mp-1209009
1482	ScN	mp-2857
1483	ScNi	mp-11521
1484	ScNiBi	mp-30459
1485	ScNiGe	mp-637866
1486	ScNiIr	mp-862360
1487	ScNiP	mp-10240
1488	ScNiPt	mp-862368
1489	ScNiRu	mp-862367
1490	ScNiSb	mp-3432
1491	ScOs	mp-567612
1492	ScOsCl	mp-1105775
1493	ScOsPd	mp-862365
1494	ScOsPt	mp-862364
1495	ScP	mp-22600
1496	ScPb	mp-510209
1497	ScPd	mp-2781
1498	ScPIr	mp-1219419
1499	ScPRu	mp-16305
1500	ScPt	mp-11550
1501	ScPtRh	mp-1186956
1502	ScRe	mp-11557
1503	ScReGe	mp-1197212
1504	ScRh	mp-1780
1505	ScRu	mp-30867
1506	ScS	mp-1476
1507	ScSb	mp-549
1508	ScSe	mp-1219395
1509	ScSi	mp-9969
1510	ScSiAu	mp-9023
1511	ScSiIr	mp-13620
1512	ScSiNi	mp-11338
1513	ScSiPt	mp-13572
1514	ScSiRh	mp-20492
1515	ScSiRu	mp-1080715
1516	ScSiW	mp-1202662
1517	ScSn	mp-1209024
1518	ScSnAu	mp-2894
1519	ScSnPt	mp-18198
1520	ScTaOs	mp-862699
1521	ScTc	mp-867262
1522	ScTcAg	mp-862379
1523	ScTcMo	mp-862723
1524	ScTcPt	mp-862362
1525	ScTe	mp-1219396
1526	ScTeRh	mp-31072
1527	ScTiRu	mp-972957
1528	ScTl	mp-1186974
1529	ScTlHg	mp-1186961
1530	ScTlS	mp-13312
1531	ScTlTc	mp-972861
1532	ScTlTe	mp-13314
1533	ScVRu	mp-867137
1534	ScZn	mp-11566
1535	ScZnAu	mp-972925
1536	ScZnCu	mp-1187006
1537	ScZnGa	mp-867242
1538	ScZnHg	mp-1186952
1539	SeCl	mp-504825
1540	SeS	mp-1219328
1541	Si	mp-1196961
1542	Si(NiAu)	mp-1103787
1543	SiAs	mp-1863
1544	SiC	mp-11713
1545	SiCl	mp-29174
1546	SiH	mp-23739
1547	SiHS	mp-29309
1548	SiIr	mp-1103038
1549	SiMoPt	mp-978568
1550	SiMoW	mp-1219258
1551	SiN	mp-988
1552	SiNCl	mp-28583
1553	SiNi	mp-2291
1554	SiNiAs	mp-21598
1555	SiNiGe	mp-1219193
1556	SiNiP	mp-28945
1557	SiNiPd	mp-1219266
1558	SiNiW	mp-1219259
1559	SiOs	mp-16608
1560	SiOsRu	mp-972777
1561	SiP	mp-2798
1562	SiPAu	mp-1207095
1563	SiPd	mp-505071
1564	SiPH	mp-28842
1565	SiPN	mp-36053
1566	SiPOs	mp-1206699
1567	SiPRh	mp-1219203
1568	SiPRu	mp-14983
1569	SiPt	mp-1079269
1570	SiPtPb	mp-1025218
1571	SiPtSe	mp-1103261
1572	SiRh	mp-1078989
1573	SiRu	mp-20191
1574	SiS	mp-1194773
1575	SiSbPt	mp-1025366
1576	SiSe	mp-1179443
1577	SiSnPt	mp-1025324
1578	SiTc	mp-1203760
1579	SiW	mp-1620
1580	Sn	mp-7162
1581	Sn(HgSe)	mp-10955
1582	Sn(MoSe)	mp-1104129
1583	Sn(PdPt)	mp-1218977
1584	Sn(SCl)	mp-1014204
1585	SnAs	mp-570377
1586	SnAu	mp-30418
1587	SnCl	mp-29866
1588	SnGeTe	mp-1218976
1589	SnIr	mp-20033
1590	SnP	mp-7526
1591	SnPAu	mp-3245
1592	SnPbS	mp-1218952
1593	SnPd	mp-1219006
1594	SnPdAu	mp-1218970
1595	SnPt	mp-30846
1596	SnPtS	mp-1218931
1597	SnRh	mp-978974
1598	SnS	mp-8781
1599	SnSbS	mp-684021
1600	SnSe	mp-665
1601	SnSeS	mp-1218912
1602	SnTePb	mp-1218915
1603	SnTePt	mp-1218898
1604	Sr	mp-76
1605	Sr(AlAu)	mp-1079278
1606	Sr(AlCl)	mp-628726
1607	Sr(AlN)	mp-17129
1608	Sr(AlS)	mp-1104378
1609	Sr(AlSi)	mp-7068
1610	Sr(AlTe)	mp-37091
1611	Sr(AsPd)	mp-4370
1612	Sr(AsPt)	mp-14500
1613	Sr(AsRu)	mp-4404
1614	Sr(BiPd)	mp-567114
1615	Sr(CoAs)	mp-571203
1616	Sr(FeSb)	mp-1188542
1617	Sr(GaN)	mp-16945
1618	Sr(GaP)	mp-1106227
1619	Sr(GaRh)	mp-1078231
1620	Sr(GaSe)	mp-1104062
1621	Sr(GaTe)	mp-6987
1622	Sr(GeIr)	mp-978853
1623	Sr(GeRu)	mp-19787
1624	Sr(InP)	mp-28324
1625	Sr(InSb)	mp-649033
1626	Sr(MnGe)	mp-21118
1627	Sr(MoS)	mp-8736
1628	Sr(NiSn)	mp-18127
1629	Sr(PIr)	mp-15074
1630	Sr(PPd)	mp-3385
1631	Sr(PRu)	mp-3804
1632	Sr(SbPd)	mp-8468
1633	Sr(SiAu)	mp-7365
1634	Sr(SiN)	mp-567278
1635	Sr(SiPt)	mp-1206424
1636	Sr(TiN)	mp-1247347
1637	Sr(YS)	mp-29035
1638	Sr(ZnN)	mp-1247004
1639	Sr(ZnP)	mp-8276
1640	SrAgPd	mp-1218349
1641	SrAgPt	mp-867163
1642	SrAl	mp-1638
1643	SrAlAu	mp-1190136
1644	SrAlGe	mp-1218856
1645	SrAlH	mp-568450
1646	SrAlIn	mp-1218858
1647	SrAs	mp-15339
1648	SrAsN	mp-1013555
1649	SrAsPd	mp-9743
1650	SrAsPt	mp-8456
1651	SrAu	mp-434
1652	SrBi	mp-30893
1653	SrBiN	mp-570008
1654	SrCaAg	mp-1218380
1655	SrCaGe	mp-12418
1656	SrCaS	mp-1218367
1657	SrCaSi	mp-1208721
1658	SrCaZn	mp-1218336
1659	SrCd	mp-677
1660	SrCdAu	mp-1095513
1661	SrCdBi	mp-568501
1662	SrCdGa	mp-1218329
1663	SrCdGe	mp-1101809
1664	SrCdHg	mp-867179
1665	SrCdIn	mp-862720
1666	SrCdN	mp-1247450
1667	SrCdPb	mp-1218620
1668	SrCdPt	mp-1068157
1669	SrCl	mp-23209
1670	SrCoN	mp-1246735
1671	SrCuGe	mp-1218273
1672	SrCuP	mp-1104000
1673	SrCuSi	mp-1218268
1674	SrCuSn	mp-30598
1675	SrFeN	mp-1246649
1676	SrGa	mp-1827
1677	SrGaGe	mp-1102705
1678	SrGaN	mp-18290
1679	SrGe	mp-2576
1680	SrGeAu	mp-1078860
1681	SrGeN	mp-1247194
1682	SrGePt	mp-1068239
1683	SrGeS	mp-4578
1684	SrH	mp-23714
1685	SrHg	mp-982376
1686	SrHPd	mp-1179173
1687	SrIn	mp-1206486
1688	SrInAu	mp-22529
1689	SrInHg	mp-1218256
1690	SrInNi	mp-20479
1691	SrInP	mp-616026
1692	SrInPt	mp-20393
1693	SrInRh	mp-31294
1694	SrMnN	mp-1029878
1695	SrN	mp-29973
1696	SrNiSn	mp-30805
1697	SrP	mp-7931
1698	SrPb	mp-1203353
1699	SrPd	mp-999143
1700	SrPdPt	mp-1187097
1701	SrPt	mp-1104074
1702	SrPtAu	mp-1218708
1703	SrReN	mp-1029531
1704	SrRuN	mp-1246460
1705	SrS	mp-1087
1706	SrSb	mp-10636
1707	SrSbP	mp-1013588
1708	SrScN	mp-1245988
1709	SrSiN	mp-570598
1710	SrSiPt	mp-971914
1711	SrSiS	mp-1104926
1712	SrSn	mp-1186781
1713	SrSnAu	mp-1218558
1714	SrSnPd	mp-30834
1715	SrSnPt	mp-20001
1716	SrSnS	mp-1218773
1717	SrTaN	mp-1247449
1718	SrTe	mp-1958
1719	SrTiS	mp-1080529
1720	SrTl	mp-30877
1721	SrTlPb	mp-1187124
1722	SrVN	mp-1246089
1723	SrZn	mp-13365
1724	SrZnAs	mp-1104042
1725	SrZnCd	mp-1218414
1726	SrZnGe	mp-1217763
1727	SrZnHg	mp-1187096
1728	SrZnIn	mp-1217777
1729	SrZnPb	mp-1187098
1730	Ta	mp-42
1731	Ta(PdRh)	mp-1218026
1732	Ta(PdRu)	mp-1217768
1733	Ta(SiSe)	mp-1208587
1734	Ta(SnS)	mp-1205503
1735	TaAl	mp-1178983
1736	TaAlCr	mp-1218061
1737	TaAlFe	mp-1218090
1738	TaAlNi	mp-1218041
1739	TaAlOs	mp-862445
1740	TaAlRu	mp-862446
1741	TaAlZn	mp-1217995
1742	TaAs	mp-1936
1743	TaAu	mp-1217961
1744	TaCoGe	mp-1095502
1745	TaCoMo	mp-1217987
1746	TaCoNi	mp-1217989
1747	TaCoS	mp-1208409
1748	TaCoSb	mp-31459
1749	TaCoSi	mp-1102650
1750	TaCrN	mp-1218060
1751	TaCrNi	mp-1218063
1752	TaCrOs	mp-867774
1753	TaCrP	mp-1095419
1754	TaCrSe	mp-1187280
1755	TaCuS	mp-1217959
1756	TaFe	mp-1103826
1757	TaFeGe	mp-1187225
1758	TaFeOs	mp-864764
1759	TaFeP	mp-21336
1760	TaFeRu	mp-1186768
1761	TaFeSi	mp-1218037
1762	TaFeTe	mp-8848
1763	TaGa	mp-30668
1764	TaGaCo	mp-30555
1765	TaGaFe	mp-867507
1766	TaGaOs	mp-867788
1767	TaGaRu	mp-867781
1768	TaGe	mp-7558
1769	TaGeRu	mp-1187233
1770	TaH	mp-632311
1771	TaHgS	mp-999139
1772	TaInCl	mp-662572
1773	TaInS	mp-22332
1774	TaInSe	mp-1208590
1775	TaIr	mp-265
1776	TaMn	mp-12678
1777	TaMnAl	mp-1218087
1778	TaMnGe	mp-863250
1779	TaMo	mp-1217895
1780	TaMoN	mp-1218049
1781	TaMoRu	mp-864782
1782	TaMoS	mp-1218051
1783	TaMoW	mp-1186763
1784	TaN	mp-1459
1785	TaNbIr	mp-864640
1786	TaNbW	mp-1217901
1787	TaNi	mp-1157
1788	TaNiAs	mp-1102844
1789	TaNiP	mp-1188762
1790	TaNiTe	mp-19810
1791	TaOs	mp-1187243
1792	TaPbS	mp-20985
1793	TaPbSe	mp-567736
1794	TaPd	mp-30835
1795	TaPdSe	mp-8436
1796	TaPRu	mp-1103180
1797	TaPtSe	mp-4425
1798	TaRe	mp-1217894
1799	TaReMo	mp-977353
1800	TaRh	mp-1020
1801	TaRhS	mp-1189957
1802	TaRu	mp-977390
1803	TaRuW	mp-1187211
1804	TaS	mp-1411
1805	TaSb	mp-541
1806	TaSe	mp-1191680
1807	TaSeS	mp-1217794
1808	TaSi	mp-1989
1809	TaSiGe	mp-1217900
1810	TaSiPt	mp-1208554
1811	TaSiRh	mp-20436
1812	TaSiRu	mp-1189212
1813	TaSn	mp-30871
1814	TaSnRh	mp-1100408
1815	TaTc	mp-11572
1816	TaTcMo	mp-977363
1817	TaTcRu	mp-1187200
1818	TaTe	mp-542634
1819	TaTeCl	mp-541877
1820	TaTePt	mp-14815
1821	TaTeRh	mp-1190788
1822	TaTiFe	mp-979751
1823	TaTiMn	mp-867821
1824	TaTiRu	mp-861908
1825	TaTiTe	mp-1217815
1826	TaTiW	mp-1187209
1827	TaTlS	mp-18344
1828	TaV	mp-567276
1829	TaVCo	mp-1217850
1830	TaVCu	mp-1218034
1831	TaVH	mp-1217816
1832	TaVNi	mp-1217864
1833	TaVRu	mp-977382
1834	TaVS	mp-1190092
1835	TaZn	mp-1102895
1836	TaZnN	mp-1029387
1837	TaZnRu	mp-865234
1838	Tc	mp-113
1839	TcAs	mp-8886
1840	TcIr	mp-1217409
1841	TcN	mp-1019319
1842	TcNi	mp-867357
1843	TcOs	mp-1217407
1844	TcP	mp-28026
1845	TcPd	mp-861610
1846	TcPt	mp-867281
1847	TcRh	mp-861626
1848	TcRu	mp-867356
1849	TcS	mp-9481
1850	Te	mp-570459
1851	TeAs	mp-9897
1852	TeAsIr	mp-1217272
1853	TeAsOs	mp-1208287
